iter,best_f,elapsed_ms
730,1.0222875946582865E-17,46.4015
740,8.106993930473647E-18,46.9253
750,3.1116995132829474E-18,47.454
760,1.12030703086438E-18,47.9807
770,6.201973206303294E-19,48.5009
780,2.715134372572571E-19,49.0184
790,1.5715922260841982E-19,49.5433
800,8.099212690670084E-20,50.0647
810,4.1148611049737184E-20,50.5853
820,3.101208336977432E-20,51.1024
830,1.8998314710392278E-20,51.6255
840,1.488011431143159E-20,52.159
850,9.806556647216084E-21,52.6901
860,6.10303850075816E-21,53.2183
870,2.3867210739863937E-21,53.7391
880,1.11948676401746E-21,54.2557
890,6.563733571730965E-22,54.7726
900,4.398831952183406E-22,55.2898
910,2.2654462373254788E-22,55.8102
920,1.315887542681714E-22,56.3306
930,7.556948853347446E-23,56.8542
940,4.0703847709806164E-23,57.378
950,2.1757675371194265E-23,57.902
960,1.4279285642583144E-23,58.4316
970,8.006715310169414E-24,58.9632
980,3.418755937501692E-24,59.4933
990,1.780559500806601E-24,60.0136
1000,1.0116041155116055E-24,60.5355
1010,6.673167849195723E-25,61.0565
1020,2.9630759014894754E-25,61.5875
1030,1.4431285886856733E-25,62.1127
1040,4.4229304609232966E-26,62.6376
1050,2.3468227943663398E-26,63.1627
1060,1.1761691919658372E-26,63.6802
1070,8.415209187001985E-27,64.2031
1080,4.2073837808860626E-27,64.7258
1090,1.907654175473041E-27,65.2497
1100,1.1648500639031784E-27,65.7673
1110,7.149499198451191E-28,66.2854
1120,4.7705066904071875E-28,66.8084
1130,2.2012579418177567E-28,67.3374
1140,9.605539909443439E-29,67.8676
1150,6.966771139047556E-29,68.3979
1160,4.1721560219854915E-29,68.9268
1170,2.703248746105955E-29,69.4548
1180,2.27957883982669E-29,69.9857
1190,9.476856909396837E-30,70.5177
1200,7.616474932455354E-30,71.0483
1210,3.422789867465903E-30,71.5875
1220,1.8754475925753364E-30,72.1251
1230,1.0725152016672277E-30,72.6617
1240,4.390695008254915E-31,73.198
1250,2.989039770830994E-31,73.7301
1260,2.1713961193850845E-31,74.2584
1270,1.362266314478906E-31,74.7871
1280,8.38778137566455E-32,75.3152
1290,4.718007028330738E-32,75.8474
1300,2.9623492999125444E-32,76.3717
1310,2.485500333079311E-32,76.9027
1320,1.6033332642347317E-32,77.4334
1330,6.152611978930789E-33,77.9597
1340,2.9646838630121E-33,78.484
1350,1.8649961703550496E-33,79.0163
1360,1.08378796935915E-33,79.5447
1370,7.802765737122183E-34,80.0728
1380,5.068745294681143E-34,80.6
1390,2.593951525913892E-34,81.1269
1400,1.7688943571469035E-34,81.6535
1410,1.0909276030872116E-34,82.1888
1420,8.140822762632999E-35,82.7159
1430,6.053908436000706E-35,83.2445
1440,2.377824666275549E-35,83.7896
1450,1.5402452173214111E-35,84.3241
1460,8.314338204794566E-36,84.8475
1470,5.8418635837977904E-36,85.3694
1480,3.77029430513652E-36,85.8916
1490,2.1706605904864614E-36,86.4163
1500,7.873652560013017E-37,87.0887
1510,5.541381639268797E-37,87.613
1520,3.918956401021078E-37,88.1312
1530,1.780237287757129E-37,88.6596
1540,9.789959202883736E-38,89.2068
1550,3.758446386522704E-38,89.7357
1560,2.4197680115636566E-38,90.2601
1570,1.6372570725602533E-38,90.7837
1580,1.221414553300863E-38,91.3025
1590,8.098325150137317E-39,91.819
1600,6.224268816256192E-39,92.3358
1610,2.340904937179595E-39,92.8619
1620,1.3383621807421946E-39,93.3824
1630,6.396404759987645E-40,93.9038
1640,4.43845863353112E-40,94.4295
1650,3.0791130552113746E-40,94.9591
1660,2.3861158809710696E-40,95.4901
1670,1.4144603298182442E-40,96.0142
1680,7.533644700406509E-41,96.5406
1690,5.103442863911983E-41,97.059
1700,4.1614815035015427E-41,97.5883
1710,3.3607340198212735E-41,98.1205
1720,2.758019973287111E-41,98.6797
1730,2.234038873581417E-41,99.2111
1740,9.942273064029263E-42,99.7393
1750,7.41874656865865E-42,100.266
1760,3.701879364716784E-42,100.7961
1770,1.3459466049182063E-42,101.3239
1780,8.87620987666481E-43,101.8549
1790,3.963743302216323E-43,102.3917
1800,3.05513046939323E-43,102.9163
1810,1.5654692150704862E-43,103.4504
1820,7.609834243770463E-44,103.9721
1830,4.16753719589221E-44,104.4945
1840,3.0886979279838717E-44,105.014
1850,1.5744834134064826E-44,105.5423
1860,1.0214480210281996E-44,106.0656
1870,6.878582571899875E-45,106.5868
1880,3.3215170946066645E-45,107.1108
1890,1.8375374290224183E-45,107.6348
1900,1.2690093108146411E-45,108.1637
1910,5.438524726706743E-46,108.6906
1920,3.903999220719602E-46,109.2203
1930,2.6531554992162363E-46,109.7421
1940,1.7651795512647286E-46,110.2569
1950,9.09896350480045E-47,110.7747
1960,4.771969656193421E-47,111.3035
1970,4.0173183935162566E-47,111.8294
1980,2.7695924592686155E-47,112.3632
1990,1.5805608874896073E-47,112.895
2000,5.534140140871252E-48,113.4286
