iter,best_f,elapsed_ms
1,33.341607056217846,0.1569
10,13.04355453027225,0.4183
20,6.919835722758897,0.6457
30,4.7971224067006695,0.8604
40,4.171614522771199,1.0698
50,4.058999501181802,1.2765
60,3.9930526124992713,1.4875
70,3.981783090949712,1.6981
80,3.9805142134388394,1.9047
90,3.9799756334161334,2.1115
100,3.9798625643063,2.3174
110,3.9798505116753145,2.5243
120,3.979839752752273,2.7604
130,3.9798371699225576,2.9716
140,3.979836522936548,3.1856
150,3.979836281069181,3.409
160,3.979836243220344,3.6356
170,3.9798362311647093,3.8552
180,3.9798362298573213,4.0652
190,3.9798362285753566,4.2734
200,3.979836228443167,4.4803
210,3.979836228392152,4.6862
220,3.9798362283789466,4.8921
230,3.9798362283745945,5.0963
240,3.97983622837344,5.3002
250,3.979836228373255,5.5058
260,3.979836228373184,5.7121
270,3.9798362283731663,5.9183
280,3.979836228373161,6.1231
290,3.979836228373159,6.3288
300,3.979836228373159,6.536
310,3.979836228373159,6.742
320,3.979836228373159,6.9509
330,3.979836228373159,7.1556
340,3.979836228373159,7.362
350,3.979836228373159,7.5675
360,3.979836228373159,7.7736
370,3.979836228373159,7.9788
380,3.979836228373159,8.1833
390,3.979836228373159,8.3902
400,3.979836228373159,8.5953
410,3.979836228373159,8.8012
420,3.979836228373159,9.0075
430,3.979836228373159,9.2137
440,3.979836228373159,9.4437
450,3.979836228373159,9.6521
460,3.979836228373159,9.8579
470,3.979836228373159,10.0632
480,3.979836228373159,10.2614
490,3.979836228373159,10.4669
500,3.979836228373159,10.6667
510,3.979836228373159,10.8674
520,3.979836228373159,11.0738
530,3.979836228373159,11.2737
540,3.979836228373159,11.4774
550,3.979836228373159,11.7172
560,3.979836228373159,11.9326
570,3.979836228373159,12.1409
580,3.979836228373159,12.345
590,3.979836228373159,12.5491
600,3.979836228373159,12.7521
610,3.979836228373159,12.9549
620,3.979836228373159,13.1576
630,3.979836228373159,13.3602
640,3.979836228373159,13.5704
650,3.979836228373159,13.7773
660,3.979836228373159,13.9829
670,3.979836228373159,14.188
680,3.979836228373159,14.3936
690,3.979836228373159,14.5985
700,3.979836228373159,14.8032
710,3.979836228373159,15.0103
720,3.979836228373159,15.2146
730,3.979836228373159,15.4234
740,3.979836228373159,15.6337
750,3.979836228373159,15.8421
760,3.979836228373159,16.0521
770,3.979836228373159,16.258
780,3.979836228373159,16.4637
790,3.979836228373159,16.6695
800,3.979836228373159,16.8744
810,3.979836228373159,17.0793
820,3.979836228373159,17.2842
830,3.979836228373159,17.491
840,3.979836228373159,17.696
850,3.979836228373159,17.8989
860,3.979836228373159,18.1036
870,3.979836228373159,18.308
880,3.979836228373159,18.5308
890,3.979836228373159,18.7384
900,3.979836228373159,18.941
910,3.979836228373159,19.1434
920,3.979836228373159,19.3458
930,3.979836228373159,19.5482
940,3.979836228373159,19.7503
950,3.979836228373159,19.9529
960,3.979836228373159,20.1552
970,3.979836228373159,20.3606
980,3.979836228373159,20.5655
990,3.979836228373159,20.77
1000,3.979836228373159,20.9739
1010,3.979836228373159,21.1812
1020,3.979836228373159,21.3863
1030,3.979836228373159,21.5881
1040,3.979836228373159,21.7913
1050,3.979836228373159,21.9962
1060,3.979836228373159,22.2004
1070,3.979836228373159,22.4031
1080,3.979836228373159,22.6054
1090,3.979836228373159,22.8081
1100,3.979836228373159,23.0094
1110,3.979836228373159,23.2108
1120,3.979836228373159,23.4124
1130,3.979836228373159,23.6133
1140,3.979836228373159,23.815
1150,3.979836228373159,24.0151
1160,3.979836228373159,24.2147
1170,3.979836228373159,24.4127
1180,3.979836228373159,24.6108
1190,3.979836228373159,24.8098
1200,3.979836228373159,25.0256
1210,3.979836228373159,25.2418
1220,3.979836228373159,25.4616
1230,3.979836228373159,25.6678
1240,3.979836228373159,25.8754
1250,3.979836228373159,26.0879
1260,3.979836228373159,26.2933
1270,3.979836228373159,26.5029
1280,3.979836228373159,26.7089
1290,3.979836228373159,26.9166
1300,3.979836228373159,27.1217
1310,3.979836228373159,27.3269
1320,3.979836228373159,27.5333
1330,3.979836228373159,27.737
1340,3.979836228373159,27.9446
1350,3.979836228373159,28.1493
1360,3.979836228373159,28.3579
1370,3.979836228373159,28.5627
1380,3.979836228373159,28.7682
1390,3.979836228373159,28.9748
1400,3.979836228373159,29.1774
1410,3.979836228373159,29.383
1420,3.979836228373159,29.586
1430,3.979836228373159,29.7884
1440,3.979836228373159,29.9949
1450,3.979836228373159,30.1999
1460,3.979836228373159,30.4064
1470,3.979836228373159,30.6108
1480,3.979836228373159,30.8122
1490,3.979836228373159,31.0216
1500,3.979836228373159,31.2269
1510,3.979836228373159,31.4314
1520,3.979836228373159,31.6354
1530,3.979836228373159,31.8374
1540,3.979836228373159,32.0445
1550,3.979836228373159,32.2565
1560,3.979836228373159,32.5401
1570,3.979836228373159,32.7426
1580,3.979836228373159,32.9468
1590,3.979836228373159,33.1487
1600,3.979836228373159,33.386
1610,3.979836228373159,33.5929
1620,3.979836228373159,33.8013
1630,3.979836228373159,34.0079
1640,3.979836228373159,34.2114
1650,3.979836228373159,34.4145
1660,3.979836228373159,34.6188
1670,3.979836228373159,34.8211
1680,3.979836228373159,35.0235
1690,3.979836228373159,35.2271
1700,3.979836228373159,35.4331
1710,3.979836228373159,35.7887
1720,3.979836228373159,36.0112
1730,3.979836228373159,36.2193
1740,3.979836228373159,36.4319
1750,3.979836228373159,36.6392
1760,3.979836228373159,36.8467
1770,3.979836228373159,37.054
1780,3.979836228373159,37.2615
1790,3.979836228373159,37.4689
1800,3.979836228373159,37.6764
1810,3.979836228373159,37.883
1820,3.979836228373159,38.0913
1830,3.979836228373159,38.2952
1840,3.979836228373159,38.4982
1850,3.979836228373159,38.7019
1860,3.979836228373159,38.9076
1870,3.979836228373159,39.1109
1880,3.979836228373159,39.3139
1890,3.979836228373159,39.5447
1900,3.979836228373159,39.7567
1910,3.979836228373159,39.9959
1920,3.979836228373159,40.262
1930,3.979836228373159,40.4813
1940,3.979836228373159,40.6886
1950,3.979836228373159,40.892
1960,3.979836228373159,41.0953
1970,3.979836228373159,41.2984
1980,3.979836228373159,41.5059
1990,3.979836228373159,41.709
2000,3.979836228373159,41.9123
