method,iterations,particles,hidden,train_mse,val_mse,elapsed_s
PSO,1000,50,10,0.003729754895904117,0.008042731060848176,14.2382579
H-PSO,1000,50,10,0.004421785439498474,0.00744743780104166,25.9499677
